"ID","prompt","response","set","lab","rater1","rater2","rater3","RAPM-Gf","BFI-Extraversion","BFI-Agreeableness","BFI-Consciousness","BFI-Openness","BFI-Neuroticism"
288,"картонная коробка","Сделать макет чего-либо, например, танк в натуральную величину",22,13,3,2,3,12,27,36,21,21,28
289,"картонная коробка","Можно смастерить большой 2, 3, 4, 5 этажный скворечник",22,13,3,4,3,11,33,34,38,23,25
290,"картонная коробка","Из коробок можно смастерить макет какого-либо здания",22,13,3,2,2,11,33,34,38,23,25
291,"картонная коробка","Вырезать ручки, сделать дизайн подходящий под комнату и складывать туда вещи, которые редко используешь",22,13,2,1,1,11,33,34,38,23,25
292,"картонная коробка","Смастерить костюм своими руками",22,13,2,2,2,11,33,34,38,23,25
293,"картонная коробка","Создание картонных скульптур",22,13,4,2,2,NA,18,19,21,31,38
294,"картонная коробка","Создание костюмов для косплея",22,13,2,2,2,NA,18,19,21,31,38
295,"картонная коробка","Создание домов для домашних питомцев",22,13,1,1,1,NA,18,19,21,31,38
296,"картонная коробка","Мультсериал - настольная игра (из картонных коробок)",22,13,4,4,3,NA,18,19,21,31,38
297,"картонная коробка","Лечение птиц при помощи протезов из картона",22,13,5,5,3,NA,18,19,21,31,38
298,"картонная коробка","Картонные дома для бездомных",22,13,2,2,1,NA,18,19,21,31,38
299,"картонная коробка","Лазертаг на огромном поле с картонными укреплениями",22,13,5,4,2,NA,18,19,21,31,38
300,"картонная коробка","Стартап про битву картонных роботов",22,13,4,3,3,NA,18,19,21,31,38
301,"картонная коробка","Стулья из картона",22,13,2,2,2,NA,18,19,21,31,38
302,"картонная коробка","3D игрушки Crazy People Galaxy первое и второе поколение",22,13,3,2,1,NA,18,19,21,31,38
303,"картонная коробка","Строительство домов из спрессованных картонных коробок",22,13,1,1,3,12,33,27,32,33,16
304,"картонная коробка","Сжигание картонных коробок во славу Тзинча и Нургла",22,13,2,2,1,12,33,27,32,33,16
305,"картонная коробка","Навалить огромную гору коробок, на ней возвести картонный храм и поклоняться богу картонок",22,13,3,5,1,12,33,27,32,33,16
306,"картонная коробка","Изучить религию, основанную на поклонении картонному богу, освятить коробки и продавать их втридорого",22,13,4,5,2,12,33,27,32,33,16
307,"картонная коробка","Отдать коробку коту, чтобы он её разорвал",22,13,2,4,1,12,33,27,32,33,16
308,"картонная коробка","Построить питомцу дом из коробки",22,13,1,1,1,12,33,27,32,33,16
309,"картонная коробка","Кататься на картонке вместо ледянки",22,13,2,2,2,12,33,27,32,33,16
310,"картонная коробка","Из спрессованных картонных коробок остров в океане и жить там",22,13,3,5,5,12,33,27,32,33,16
311,"картонная коробка","Игрушка для детей (замок сделать и т.п.)",22,13,1,2,1,8,35,29,24,31,27
312,"картонная коробка","Использовать для декора (цветы и др.)",22,13,1,1,2,8,35,29,24,31,27
313,"картонная коробка","Рисовать (вместо бумаги и холста)",22,13,1,1,2,8,35,29,24,31,27
314,"картонная коробка","Зимой вместо санок кататься",22,13,2,2,3,8,35,29,24,31,27
315,"картонная коробка","Использовать как топливо",22,13,2,3,2,8,35,29,24,31,27
316,"картонная коробка","Для улучшения звука (вместо колонок)",22,13,3,4,4,8,35,29,24,31,27
317,"картонная коробка","Костюмы для спектаклей (которые возможно)",22,13,2,2,2,8,35,29,24,31,27
318,"картонная коробка","Коробки можно использовать в качестве брони",22,13,2,2,2,11,39,43,20,22,36
319,"картонная коробка","Сделать огромный массажный коврик",22,13,3,3,2,11,39,43,20,22,36
320,"картонная коробка","Вырезать из них гигантскую марионетку",22,13,4,3,3,11,39,43,20,22,36
321,"картонная коробка","Сделать из коробок огромный замок с потайными проходами и механизмами",22,13,2,3,1,11,39,43,20,22,36
322,"картонная коробка","Вырезать из картона от коробки резинкомёт",22,13,4,3,3,11,39,43,20,22,36
323,"картонная коробка","Склеить множество развёрнутых коробок и укрепить их для особого прохода",22,13,3,2,3,11,39,43,20,22,36
324,"картонная коробка","Сделать из них мега-лабиринт",22,13,3,3,2,11,39,43,20,22,36
325,"картонная коробка","Лоток",22,13,3,3,2,12,19,26,28,29,26
326,"картонная коробка","Использовать вместо вазы",22,13,1,2,3,12,19,26,28,29,26
327,"картонная коробка","Для кинотеатра дома",22,13,3,3,4,12,19,26,28,29,26
328,"картонная коробка","Сидение (из нескольких коробок)",22,13,2,2,2,12,19,26,28,29,26
329,"картонная коробка","Топливо для огня",22,13,2,3,2,12,19,26,28,29,26
330,"картонная коробка","Вместо бумаги для рисования",22,13,1,1,2,12,19,26,28,29,26
331,"картонная коробка","Построить домик для бомжа",22,13,2,2,1,12,19,26,28,29,26
332,"картонная коробка","Хранить в ней драгоценности (воры не додумаются проверять их в коробке)",22,13,4,4,1,12,19,26,28,29,26
333,"картонная коробка","Вместо кафеля",22,13,3,3,3,12,19,26,28,29,26
334,"картонная коробка","Для балласта на воздушном шаре",22,13,3,4,4,12,19,26,28,29,26
335,"картонная коробка","Как музыкальную колонку",22,13,3,3,3,12,19,26,28,29,26
336,"картонная коробка","Вместо ходуль",22,13,3,4,2,12,19,26,28,29,26
337,"картонная коробка","Вместо барабана",22,13,4,5,3,12,19,26,28,29,26
338,"картонная коробка","Использовать как рюкзак",22,13,3,3,3,12,19,26,28,29,26
339,"картонная коробка","Из коробок можно изготовить мебель, и выгода в такой мебели в том, что её можно складывать",22,13,2,4,2,10,34,36,32,33,28
340,"картонная коробка","Из коробок можно сделать маленький домик для детей",22,13,1,1,1,10,34,36,32,33,28
341,"картонная коробка","Коробка - зонтик под дождём",22,13,3,3,2,10,34,36,32,33,28
342,"картонная коробка","Коробка - санки, с горы очень хорошо кататься",22,13,2,2,3,10,34,36,32,33,28
343,"картонная коробка","Из коробок, если их украсить, может получиться картина",22,13,3,2,1,10,34,36,32,33,28
344,"картонная коробка","Из коробок можно сделать костюм робота на маскарад",22,13,2,3,2,10,34,36,32,33,28
345,"картонная коробка","Из коробки можно сделать рюкзак, он будет хорошо держать форму",22,13,3,3,3,10,34,36,32,33,28
346,"картонная коробка","Вместо ваз для растений в качестве верхней оболочки, которую можно украсить",22,13,1,3,3,9,32,37,36,32,13
347,"картонная коробка","В виде шкафа: несколько больших коробок с меньшими внутри",22,13,2,2,2,9,32,37,36,32,13
348,"картонная коробка","Плоские коробки разного размера могут быть декором для стен с тайником внутри",22,13,4,5,3,9,32,37,36,32,13
349,"картонная коробка","Из коробок можно создать игровой уголок для кота",22,13,2,2,1,9,32,37,36,32,13
350,"картонная коробка","Делать поделки из картона (маски, оружие)",22,13,2,2,2,13,35,27,29,31,33
351,"картонная коробка","Спрессовать и строить из них",22,13,2,2,3,13,35,27,29,31,33
352,"картонная коробка","Вырезать фигурки",22,13,2,2,2,13,35,27,29,31,33
353,"картонная коробка","Использовать как подставку",22,13,2,3,2,13,35,27,29,31,33
354,"картонная коробка","Хранить в них что-либо",22,13,1,1,1,9,20,28,18,21,23
355,"картонная коробка","Лежанка для животных",22,13,3,1,2,9,20,28,18,21,23
356,"картонная коробка","Разрезать коробку и использовать картон от неё для поделок",22,13,2,1,2,9,20,28,18,21,23
357,"картонная коробка","Подставка под что-либо",22,13,2,2,2,9,20,28,18,21,23
358,"картонная коробка","Костюмы для детских утренников",22,13,2,2,2,9,20,28,18,21,23
359,"картонная коробка","Дом для кукол",22,13,1,1,1,9,20,28,18,21,23
360,"картонная коробка","Санки",22,13,2,2,3,9,20,28,18,21,23
361,"картонная коробка","При помощи скотча и простых манипуляций из картона коробки можно сделать своеобразную сурдину для различных духовых (и не только) инструментов",22,13,5,5,3,12,17,33,30,34,36
362,"картонная коробка","Из картонных коробок различного размера можно сделать игрушечный замок для детей",22,13,1,2,3,12,17,33,30,34,36
363,"картонная коробка","Из картона можно сделать макет машины или муляж или чего-либо другое",22,13,2,2,2,12,17,33,30,34,36
364,"картонная коробка","Коробки можно использовать в качестве декораций",22,13,2,2,2,11,28,39,28,31,18
365,"картонная коробка","Коллекционировать",22,13,3,3,1,11,28,39,28,31,18
366,"картонная коробка","Утилизация",22,13,1,1,1,11,28,39,28,31,18
367,"картонная коробка","Из коробок можно соорудить нечто подобное на домик для кота",22,13,1,1,1,11,28,39,28,31,18
368,"картонная коробка","В коробке можно прятаться",22,13,3,2,1,11,28,39,28,31,18
369,"картонная коробка","Коробки можно использовать повторно",22,13,1,1,1,11,28,39,28,31,18
370,"картонная коробка","Коробки можно разорвать и будет картон",22,13,1,1,1,11,28,39,28,31,18
